# Iteration, Objective Value(s)
0.000000000000000000e+00,2.379983841495595942e-01
1.000000000000000000e+00,2.379983841495595942e-01
2.000000000000000000e+00,6.981296910440483450e-02
3.000000000000000000e+00,6.981296910440483450e-02
4.000000000000000000e+00,6.981296910440483450e-02
5.000000000000000000e+00,6.160704296925391399e-02
6.000000000000000000e+00,6.160704296925391399e-02
7.000000000000000000e+00,4.201663862889060130e-03
8.000000000000000000e+00,4.201663862889060130e-03
9.000000000000000000e+00,4.201663862889060130e-03
1.000000000000000000e+01,4.201663862889060130e-03
1.100000000000000000e+01,4.201663862889060130e-03
1.200000000000000000e+01,4.201663862889060130e-03
1.300000000000000000e+01,2.606648795222184581e-03
1.400000000000000000e+01,2.606648795222184581e-03
1.500000000000000000e+01,2.606648787535632665e-03
1.600000000000000000e+01,2.225298063531887770e-03
1.700000000000000000e+01,2.225298063531887770e-03
1.800000000000000000e+01,2.225298058399918268e-03
1.900000000000000000e+01,2.225298051985501093e-03
2.000000000000000000e+01,2.225298007898461085e-03
2.100000000000000000e+01,2.225298007898461085e-03
2.200000000000000000e+01,2.225298008502098451e-03
2.300000000000000000e+01,1.427180191031790545e-03
2.400000000000000000e+01,1.427180191031790545e-03
2.500000000000000000e+01,1.248084890905884004e-03
2.600000000000000000e+01,1.248084880986346807e-03
2.700000000000000000e+01,1.045856588492254883e-03
2.800000000000000000e+01,1.045856588492254883e-03
2.900000000000000000e+01,1.045856588492254883e-03
3.000000000000000000e+01,1.045856588492254883e-03
3.100000000000000000e+01,1.045856580379580288e-03
3.200000000000000000e+01,1.045856567696161303e-03
3.300000000000000000e+01,1.045856543062236629e-03
3.400000000000000000e+01,1.045856543062236629e-03
3.500000000000000000e+01,1.045856539366426044e-03
3.600000000000000000e+01,1.045856531403903042e-03
3.700000000000000000e+01,1.045856531403903042e-03
3.800000000000000000e+01,1.045856504013639374e-03
3.900000000000000000e+01,9.574279798002438210e-04
4.000000000000000000e+01,9.574279868851529778e-04
4.100000000000000000e+01,1.439239117367045100e-04
4.200000000000000000e+01,1.439239117367045100e-04
4.300000000000000000e+01,1.439239116251216479e-04
4.400000000000000000e+01,1.439238996066342056e-04
4.500000000000000000e+01,1.439238645193533330e-04
4.600000000000000000e+01,1.439238244062653516e-04
4.700000000000000000e+01,1.439238244062653516e-04
4.800000000000000000e+01,1.439238142735302871e-04
4.900000000000000000e+01,1.439238142735302871e-04
5.000000000000000000e+01,1.439238142735302871e-04
5.100000000000000000e+01,1.439237717286414241e-04
5.200000000000000000e+01,1.439237717286414241e-04
5.300000000000000000e+01,1.439238142735302871e-04
5.400000000000000000e+01,1.439238142735302871e-04
5.500000000000000000e+01,1.439238142735302871e-04
5.600000000000000000e+01,1.439238142735302871e-04
5.700000000000000000e+01,1.439238142735302871e-04
5.800000000000000000e+01,1.439238142735302871e-04
5.900000000000000000e+01,1.439235386517854587e-04
6.000000000000000000e+01,1.439235386517854587e-04
