# Iteration, Objective Value(s)
0.000000000000000000e+00,-3.893316634891185913e+03
1.000000000000000000e+00,-3.893316634891185913e+03
2.000000000000000000e+00,-3.893316634891185913e+03
3.000000000000000000e+00,-3.893316634891185913e+03
4.000000000000000000e+00,-3.930869599384446246e+03
5.000000000000000000e+00,-3.967915215939848167e+03
6.000000000000000000e+00,-1.197076326591135330e+04
7.000000000000000000e+00,-1.745961286674430085e+04
8.000000000000000000e+00,-1.745961286674430085e+04
9.000000000000000000e+00,-1.745961286674430085e+04
1.000000000000000000e+01,-1.775125832477996300e+04
1.100000000000000000e+01,-1.877008429181732936e+04
1.200000000000000000e+01,-1.877403762134719000e+04
1.300000000000000000e+01,-1.877403762134719000e+04
1.400000000000000000e+01,-1.969992271736568364e+04
1.500000000000000000e+01,-1.989807124546130581e+04
1.600000000000000000e+01,-1.997687832235233509e+04
1.700000000000000000e+01,-1.997687832235233509e+04
1.800000000000000000e+01,-1.997687832235233509e+04
1.900000000000000000e+01,-1.997687832235233509e+04
2.000000000000000000e+01,-1.998616442917281893e+04
2.100000000000000000e+01,-1.998616442917281893e+04
2.200000000000000000e+01,-1.998616442947980249e+04
2.300000000000000000e+01,-1.998616442947980249e+04
2.400000000000000000e+01,-1.998616442947980249e+04
2.500000000000000000e+01,-1.998616443057113429e+04
2.600000000000000000e+01,-1.998616443094623537e+04
2.700000000000000000e+01,-1.999439922107689563e+04
2.800000000000000000e+01,-1.999439922107689563e+04
2.900000000000000000e+01,-1.999439922107689563e+04
3.000000000000000000e+01,-1.999439920802412234e+04
3.100000000000000000e+01,-1.999439922073581693e+04
3.200000000000000000e+01,-1.999439921785089973e+04
3.300000000000000000e+01,-1.999439922116041998e+04
3.400000000000000000e+01,-1.999439922116041998e+04
3.500000000000000000e+01,-1.999439922158923582e+04
3.600000000000000000e+01,-1.999439922161537106e+04
3.700000000000000000e+01,-1.999439922375820606e+04
3.800000000000000000e+01,-1.999439922375820606e+04
3.900000000000000000e+01,-1.999439922576469326e+04
4.000000000000000000e+01,-1.999439922576469326e+04
4.100000000000000000e+01,-1.999439922576469326e+04
4.200000000000000000e+01,-1.999439922622923405e+04
4.300000000000000000e+01,-1.999439922622923405e+04
4.400000000000000000e+01,-1.999439922622923405e+04
4.500000000000000000e+01,-1.999439922622923405e+04
4.600000000000000000e+01,-1.999439922622923405e+04
4.700000000000000000e+01,-1.999439922789262346e+04
4.800000000000000000e+01,-1.999439922789262346e+04
4.900000000000000000e+01,-1.999439922789262346e+04
5.000000000000000000e+01,-1.999721464538924556e+04
5.100000000000000000e+01,-1.999721464538924556e+04
5.200000000000000000e+01,-1.999721464987109721e+04
5.300000000000000000e+01,-1.999721464987109721e+04
5.400000000000000000e+01,-1.999721464987109721e+04
5.500000000000000000e+01,-1.999721465012169210e+04
5.600000000000000000e+01,-1.999721465237139637e+04
5.700000000000000000e+01,-1.999989000233573097e+04
5.800000000000000000e+01,-1.999989000233573097e+04
5.900000000000000000e+01,-1.999989000260736066e+04
6.000000000000000000e+01,-1.999989000281054541e+04
