# Iteration, Objective Value(s)
0.000000000000000000e+00,1.698988271968501920e+02
1.000000000000000000e+00,1.168698610718303570e+02
2.000000000000000000e+00,1.085505137148372370e+02
3.000000000000000000e+00,6.267137465999336854e+01
4.000000000000000000e+00,5.363890364933941868e+01
5.000000000000000000e+00,5.363890364933941868e+01
6.000000000000000000e+00,5.249930343405748800e+01
7.000000000000000000e+00,4.862849605903826955e+01
8.000000000000000000e+00,4.862849605894277261e+01
9.000000000000000000e+00,3.520883712539109212e+01
1.000000000000000000e+01,3.064871193583651632e+01
1.100000000000000000e+01,3.064871193583651632e+01
1.200000000000000000e+01,3.064871192671520461e+01
1.300000000000000000e+01,3.064871192671520461e+01
1.400000000000000000e+01,3.064871192264820010e+01
1.500000000000000000e+01,2.927693610170861760e+01
1.600000000000000000e+01,2.927693610170861760e+01
1.700000000000000000e+01,2.927693609945585607e+01
1.800000000000000000e+01,2.781996746735048376e+01
1.900000000000000000e+01,2.775593476713264707e+01
2.000000000000000000e+01,2.775593476713264707e+01
2.100000000000000000e+01,2.775593476548487715e+01
2.200000000000000000e+01,2.623488633086717670e+01
2.300000000000000000e+01,2.609963274327836302e+01
2.400000000000000000e+01,2.609963273927637317e+01
2.500000000000000000e+01,2.609963273932207883e+01
2.600000000000000000e+01,2.609963273293389463e+01
2.700000000000000000e+01,2.609963272514893262e+01
2.800000000000000000e+01,2.503280992436894081e+01
2.900000000000000000e+01,2.413360377655039812e+01
3.000000000000000000e+01,2.413360377557275172e+01
3.100000000000000000e+01,2.413360377557275172e+01
3.200000000000000000e+01,2.413360376067073787e+01
3.300000000000000000e+01,2.413360375747692288e+01
3.400000000000000000e+01,2.413360376052392908e+01
3.500000000000000000e+01,2.413360375371109612e+01
3.600000000000000000e+01,2.413360375371109612e+01
3.700000000000000000e+01,2.413360375202009678e+01
3.800000000000000000e+01,2.413360375114191214e+01
3.900000000000000000e+01,2.413360375114191214e+01
4.000000000000000000e+01,2.413360375114191214e+01
4.100000000000000000e+01,2.413360374704756595e+01
4.200000000000000000e+01,2.413360374704756595e+01
4.300000000000000000e+01,2.413360374704756595e+01
4.400000000000000000e+01,2.413360374704756595e+01
4.500000000000000000e+01,2.413360374704756595e+01
4.600000000000000000e+01,2.413360374704756595e+01
4.700000000000000000e+01,2.413360374704756595e+01
4.800000000000000000e+01,2.413360374704756595e+01
4.900000000000000000e+01,2.413360374704756595e+01
5.000000000000000000e+01,2.413360374704756595e+01
5.100000000000000000e+01,2.413360374704756595e+01
5.200000000000000000e+01,2.413360374704756595e+01
5.300000000000000000e+01,2.411536503794014763e+01
5.400000000000000000e+01,2.411536503776653362e+01
5.500000000000000000e+01,2.411536503565536904e+01
5.600000000000000000e+01,2.411536503329807246e+01
5.700000000000000000e+01,2.411536503329807246e+01
5.800000000000000000e+01,2.411536502942306726e+01
5.900000000000000000e+01,2.411536502942306726e+01
6.000000000000000000e+01,2.411536502942306726e+01
