# Iteration, Objective Value(s)
0.000000000000000000e+00,1.547661617069597539e-01
1.000000000000000000e+00,1.547661617069597539e-01
2.000000000000000000e+00,1.547661617069597539e-01
3.000000000000000000e+00,1.547661617069597539e-01
4.000000000000000000e+00,1.172206229143158418e-01
5.000000000000000000e+00,5.514254553943098713e-02
6.000000000000000000e+00,5.514254553943098713e-02
7.000000000000000000e+00,5.514254553943098713e-02
8.000000000000000000e+00,5.152677030410941772e-02
9.000000000000000000e+00,4.758667765680280048e-02
1.000000000000000000e+01,3.349046286574212938e-02
1.100000000000000000e+01,3.349046286574212938e-02
1.200000000000000000e+01,1.828396584131431260e-02
1.300000000000000000e+01,1.828396583312547757e-02
1.400000000000000000e+01,1.828396583312547757e-02
1.500000000000000000e+01,1.828396583312547757e-02
1.600000000000000000e+01,1.592958205187153600e-02
1.700000000000000000e+01,1.396980828316284756e-02
1.800000000000000000e+01,8.783535908589074070e-03
1.900000000000000000e+01,8.783535854492272379e-03
2.000000000000000000e+01,4.507251858874098890e-03
2.100000000000000000e+01,4.507251858874098890e-03
2.200000000000000000e+01,1.911446095632498903e-03
2.300000000000000000e+01,1.911446182295861588e-03
2.400000000000000000e+01,1.409374046623185044e-03
2.500000000000000000e+01,1.409374046623185044e-03
2.600000000000000000e+01,1.409374031107461355e-03
2.700000000000000000e+01,1.409374031107461355e-03
2.800000000000000000e+01,6.367569200239700262e-04
2.900000000000000000e+01,6.367569200239700262e-04
3.000000000000000000e+01,6.367569200239700262e-04
3.100000000000000000e+01,6.367568745522192040e-04
3.200000000000000000e+01,6.367568745522192040e-04
3.300000000000000000e+01,6.367568745522192040e-04
3.400000000000000000e+01,6.367568228248785857e-04
3.500000000000000000e+01,6.367568062059945824e-04
3.600000000000000000e+01,6.367565981815061053e-04
3.700000000000000000e+01,6.367565981815061053e-04
3.800000000000000000e+01,6.367565981815061053e-04
3.900000000000000000e+01,6.367565724139865853e-04
4.000000000000000000e+01,6.367565724139865853e-04
4.100000000000000000e+01,6.367565724139865853e-04
4.200000000000000000e+01,6.367565724139865853e-04
4.300000000000000000e+01,6.367565724139865853e-04
4.400000000000000000e+01,6.367565724139865853e-04
4.500000000000000000e+01,6.367563355440780237e-04
4.600000000000000000e+01,6.367563355440780237e-04
4.700000000000000000e+01,6.367563355440780237e-04
4.800000000000000000e+01,6.367563355440780237e-04
4.900000000000000000e+01,6.367563355440780237e-04
5.000000000000000000e+01,6.367563355440780237e-04
5.100000000000000000e+01,6.367563355440780237e-04
5.200000000000000000e+01,6.367563355440780237e-04
5.300000000000000000e+01,6.367563355440780237e-04
5.400000000000000000e+01,6.367563355440780237e-04
5.500000000000000000e+01,6.367563355440780237e-04
5.600000000000000000e+01,6.367563355440780237e-04
5.700000000000000000e+01,6.367563355440780237e-04
5.800000000000000000e+01,6.367563355440780237e-04
5.900000000000000000e+01,6.367563355440780237e-04
6.000000000000000000e+01,6.367563355440780237e-04
