# Iteration, Objective Value(s)
0.000000000000000000e+00,-8.964540190050440671e+00
1.000000000000000000e+00,-8.964540190050440671e+00
2.000000000000000000e+00,-8.964540190050440671e+00
3.000000000000000000e+00,-9.656840225780216613e+00
4.000000000000000000e+00,-9.656840225780216613e+00
5.000000000000000000e+00,-1.031247801432788513e+01
6.000000000000000000e+00,-1.031247801512536988e+01
7.000000000000000000e+00,-1.040358785211445358e+01
8.000000000000000000e+00,-1.040358785211445358e+01
9.000000000000000000e+00,-1.089761019810980613e+01
1.000000000000000000e+01,-1.094378980990228989e+01
1.100000000000000000e+01,-1.094378980994890149e+01
1.200000000000000000e+01,-1.094378981008307328e+01
1.300000000000000000e+01,-1.094957141543032542e+01
1.400000000000000000e+01,-1.094957181704261195e+01
1.500000000000000000e+01,-1.094957181704261195e+01
1.600000000000000000e+01,-1.104584720050655733e+01
1.700000000000000000e+01,-1.104584720050655733e+01
1.800000000000000000e+01,-1.104584720050655733e+01
1.900000000000000000e+01,-1.104584720050655733e+01
2.000000000000000000e+01,-1.104584720052774571e+01
2.100000000000000000e+01,-1.104584720067198766e+01
2.200000000000000000e+01,-1.104584720067198766e+01
2.300000000000000000e+01,-1.104584720067198766e+01
2.400000000000000000e+01,-1.104584720082062965e+01
2.500000000000000000e+01,-1.104584720111574470e+01
2.600000000000000000e+01,-1.104584720111574470e+01
2.700000000000000000e+01,-1.104584720111574470e+01
2.800000000000000000e+01,-1.104584720140549337e+01
2.900000000000000000e+01,-1.104584720140549337e+01
3.000000000000000000e+01,-1.104584720140549337e+01
3.100000000000000000e+01,-1.165476429440826678e+01
3.200000000000000000e+01,-1.165476429441403283e+01
3.300000000000000000e+01,-1.165476429441876505e+01
3.400000000000000000e+01,-1.165476429460785646e+01
3.500000000000000000e+01,-1.165476429466152730e+01
3.600000000000000000e+01,-1.165476429482398935e+01
3.700000000000000000e+01,-1.165476429596461294e+01
3.800000000000000000e+01,-1.165476429872495778e+01
3.900000000000000000e+01,-1.165476429872495778e+01
4.000000000000000000e+01,-1.165476429872495778e+01
4.100000000000000000e+01,-1.165476429872495778e+01
4.200000000000000000e+01,-1.165476429872495778e+01
4.300000000000000000e+01,-1.165476429872495778e+01
4.400000000000000000e+01,-1.165476429872495778e+01
4.500000000000000000e+01,-1.165476429872495778e+01
4.600000000000000000e+01,-1.187938837098174005e+01
4.700000000000000000e+01,-1.187938837098174005e+01
4.800000000000000000e+01,-1.187938837098174005e+01
4.900000000000000000e+01,-1.187938837099392586e+01
5.000000000000000000e+01,-1.187938837106523948e+01
5.100000000000000000e+01,-1.187938837106523948e+01
5.200000000000000000e+01,-1.187938837106523948e+01
5.300000000000000000e+01,-1.187938837125675562e+01
5.400000000000000000e+01,-1.187938837152120364e+01
5.500000000000000000e+01,-1.187938837168431583e+01
5.600000000000000000e+01,-1.187938837168431583e+01
5.700000000000000000e+01,-1.201265830533626477e+01
5.800000000000000000e+01,-1.201265830541423263e+01
5.900000000000000000e+01,-1.201265830541423263e+01
6.000000000000000000e+01,-1.201265830541423263e+01
