# Iteration, Objective Value(s)
0.000000000000000000e+00,3.404033753146229468e+00
1.000000000000000000e+00,2.108683806086119272e+00
2.000000000000000000e+00,2.108683806086119272e+00
3.000000000000000000e+00,2.108683806086119272e+00
4.000000000000000000e+00,1.835992291964213097e+00
5.000000000000000000e+00,1.835992291964213097e+00
6.000000000000000000e+00,1.240739565658019350e+00
7.000000000000000000e+00,1.240739565540550871e+00
8.000000000000000000e+00,1.120642555001967633e+00
9.000000000000000000e+00,1.120642554926816192e+00
1.000000000000000000e+01,1.120642554812026681e+00
1.100000000000000000e+01,1.111108247651535264e+00
1.200000000000000000e+01,1.095994446644284803e+00
1.300000000000000000e+01,1.092002874293095616e+00
1.400000000000000000e+01,1.060173517037572344e+00
1.500000000000000000e+01,1.036169915073127390e+00
1.600000000000000000e+01,1.030063055210732381e+00
1.700000000000000000e+01,1.035369759903455034e+00
1.800000000000000000e+01,1.033839181144686092e+00
1.900000000000000000e+01,1.032052785622917135e+00
2.000000000000000000e+01,1.032052785622917135e+00
2.100000000000000000e+01,1.028949833719047247e+00
2.200000000000000000e+01,1.028949833719047247e+00
2.300000000000000000e+01,1.028949833719047247e+00
2.400000000000000000e+01,1.028897352725643533e+00
2.500000000000000000e+01,1.028891012780273506e+00
2.600000000000000000e+01,1.028891012780273506e+00
2.700000000000000000e+01,1.028738874625691357e+00
2.800000000000000000e+01,1.028738874625691357e+00
2.900000000000000000e+01,1.028738874625691357e+00
3.000000000000000000e+01,1.028805472710300650e+00
3.100000000000000000e+01,1.028804090898995938e+00
3.200000000000000000e+01,1.028804089963287316e+00
3.300000000000000000e+01,1.028803591213650170e+00
3.400000000000000000e+01,1.028802879704503237e+00
3.500000000000000000e+01,1.028802184626685712e+00
3.600000000000000000e+01,1.028800307949198967e+00
3.700000000000000000e+01,1.028800202410684816e+00
3.800000000000000000e+01,1.028800150908532940e+00
3.900000000000000000e+01,1.028800150908532940e+00
4.000000000000000000e+01,1.028800150295874349e+00
4.100000000000000000e+01,1.028800141365271648e+00
4.200000000000000000e+01,1.028800141365271648e+00
4.300000000000000000e+01,1.028800139513431411e+00
4.400000000000000000e+01,1.028800136326330161e+00
4.500000000000000000e+01,1.028800136265979992e+00
4.600000000000000000e+01,1.028800135352875289e+00
4.700000000000000000e+01,1.028800135352875289e+00
4.800000000000000000e+01,1.028800134099421726e+00
4.900000000000000000e+01,1.028800134099421726e+00
5.000000000000000000e+01,1.028800133849065990e+00
5.100000000000000000e+01,1.028800133421564622e+00
5.200000000000000000e+01,1.028800131288192254e+00
5.300000000000000000e+01,1.028800128689651983e+00
5.400000000000000000e+01,1.028800123909867192e+00
5.500000000000000000e+01,1.028800123909867192e+00
5.600000000000000000e+01,1.028800123909867192e+00
5.700000000000000000e+01,1.028800114460230342e+00
5.800000000000000000e+01,1.028800114460230342e+00
5.900000000000000000e+01,1.028800114460230342e+00
6.000000000000000000e+01,1.028800114460230342e+00
