# Iteration, Objective Value(s)
0.000000000000000000e+00,4.388012332474765520e-01
1.000000000000000000e+00,4.388012332474765520e-01
2.000000000000000000e+00,4.388012332474765520e-01
3.000000000000000000e+00,4.103332603892025920e-01
4.000000000000000000e+00,3.701331535286936925e-01
5.000000000000000000e+00,3.701331535286936925e-01
6.000000000000000000e+00,3.803863813102734692e-01
7.000000000000000000e+00,3.426474505842185270e-01
8.000000000000000000e+00,3.426474505842185270e-01
9.000000000000000000e+00,3.396958625728107029e-01
1.000000000000000000e+01,3.384217665613287740e-01
1.100000000000000000e+01,3.384217665613287740e-01
1.200000000000000000e+01,3.371754480941926979e-01
1.300000000000000000e+01,3.371754480941926979e-01
1.400000000000000000e+01,3.350590462153632543e-01
1.500000000000000000e+01,3.367726497109749251e-01
1.600000000000000000e+01,3.367626780015619548e-01
1.700000000000000000e+01,3.367607694866092127e-01
1.800000000000000000e+01,3.333504910860776715e-01
1.900000000000000000e+01,3.278927888200163232e-01
2.000000000000000000e+01,3.278927888200163232e-01
2.100000000000000000e+01,3.278927888200163232e-01
2.200000000000000000e+01,3.127002647155224246e-01
2.300000000000000000e+01,3.127002647155224246e-01
2.400000000000000000e+01,3.062983810871692802e-01
2.500000000000000000e+01,3.062983810871692802e-01
2.600000000000000000e+01,3.010691103853035955e-01
2.700000000000000000e+01,3.020323402566482685e-01
2.800000000000000000e+01,2.955243676145968279e-01
2.900000000000000000e+01,2.549155010204227634e-01
3.000000000000000000e+01,2.549155010204227634e-01
3.100000000000000000e+01,2.529336837789946113e-01
3.200000000000000000e+01,2.529336837789946113e-01
3.300000000000000000e+01,2.456707259936463661e-01
3.400000000000000000e+01,2.456707259880023808e-01
3.500000000000000000e+01,2.456707259880023808e-01
3.600000000000000000e+01,2.451909715178111349e-01
3.700000000000000000e+01,2.447961691080071389e-01
3.800000000000000000e+01,2.447961691080071389e-01
3.900000000000000000e+01,2.444240183758565610e-01
4.000000000000000000e+01,2.444240183758565610e-01
4.100000000000000000e+01,2.444240183758565610e-01
4.200000000000000000e+01,2.447634543189245449e-01
4.300000000000000000e+01,2.442886414464596201e-01
4.400000000000000000e+01,2.442886414464596201e-01
4.500000000000000000e+01,2.442781174731952221e-01
4.600000000000000000e+01,2.442781174731952221e-01
4.700000000000000000e+01,2.432292172432096444e-01
4.800000000000000000e+01,2.432292171955542370e-01
4.900000000000000000e+01,2.432117732324353410e-01
5.000000000000000000e+01,2.432117732324353410e-01
5.100000000000000000e+01,2.431844507824578727e-01
5.200000000000000000e+01,2.431692334421373669e-01
5.300000000000000000e+01,2.431692334421373669e-01
5.400000000000000000e+01,2.431692334421373669e-01
5.500000000000000000e+01,2.431652971009856390e-01
5.600000000000000000e+01,2.431535984248701654e-01
5.700000000000000000e+01,2.431535984227253810e-01
5.800000000000000000e+01,2.431535984227253810e-01
5.900000000000000000e+01,2.431535984170399012e-01
6.000000000000000000e+01,2.431535004085200180e-01
