# Iteration, Objective Value(s)
0.000000000000000000e+00,-9.990788216205921668e-03
1.000000000000000000e+00,-8.340617079024132546e-03
2.000000000000000000e+00,-9.127517298535966703e-03
3.000000000000000000e+00,-9.164581609417025293e-03
4.000000000000000000e+00,-9.178349389666958999e-03
5.000000000000000000e+00,-9.178349389666958999e-03
6.000000000000000000e+00,-9.474979591235440507e-03
7.000000000000000000e+00,-1.070569431637643371e-02
8.000000000000000000e+00,-1.128188260266018740e-02
9.000000000000000000e+00,-1.181303291660504816e-02
1.000000000000000000e+01,-1.181303291660504816e-02
1.100000000000000000e+01,-1.181303291660504816e-02
1.200000000000000000e+01,-1.181303291660504816e-02
1.300000000000000000e+01,-1.225913536771231459e-02
1.400000000000000000e+01,-1.251508191869898576e-02
1.500000000000000000e+01,-1.274257031856398242e-02
1.600000000000000000e+01,-1.288976048057602179e-02
1.700000000000000000e+01,-1.394131287091485497e-02
1.800000000000000000e+01,-1.456154360996900557e-02
1.900000000000000000e+01,-1.471236692786813058e-02
2.000000000000000000e+01,-1.481979411531561715e-02
2.100000000000000000e+01,-1.535950135163923792e-02
2.200000000000000000e+01,-1.540320302174930274e-02
2.300000000000000000e+01,-1.540320302174930274e-02
2.400000000000000000e+01,-1.557391534626988150e-02
2.500000000000000000e+01,-1.584947698046185183e-02
2.600000000000000000e+01,-1.584947698046185183e-02
2.700000000000000000e+01,-1.585618815088346567e-02
2.800000000000000000e+01,-1.624713225055012325e-02
2.900000000000000000e+01,-1.624713225055012325e-02
3.000000000000000000e+01,-1.624713225055012325e-02
3.100000000000000000e+01,-1.624713225056637067e-02
3.200000000000000000e+01,-1.625385445456130340e-02
3.300000000000000000e+01,-1.632684336897153449e-02
3.400000000000000000e+01,-1.633778296327431656e-02
3.500000000000000000e+01,-1.637737918379596203e-02
3.600000000000000000e+01,-1.639902352212910253e-02
3.700000000000000000e+01,-1.642765057752057847e-02
3.800000000000000000e+01,-1.666429399850049772e-02
3.900000000000000000e+01,-1.665653189262987152e-02
4.000000000000000000e+01,-1.668401764814890845e-02
4.100000000000000000e+01,-1.676122480794597913e-02
4.200000000000000000e+01,-1.676122480794597913e-02
4.300000000000000000e+01,-1.693223014610217153e-02
4.400000000000000000e+01,-1.693223014610217153e-02
4.500000000000000000e+01,-1.695812815825103667e-02
4.600000000000000000e+01,-1.705875607915275163e-02
4.700000000000000000e+01,-1.705875607915275163e-02
4.800000000000000000e+01,-1.710700189579592370e-02
4.900000000000000000e+01,-1.710700189579592370e-02
5.000000000000000000e+01,-1.719587943741424443e-02
5.100000000000000000e+01,-1.719587943741424443e-02
5.200000000000000000e+01,-1.719587943726602272e-02
5.300000000000000000e+01,-1.722486708886096854e-02
5.400000000000000000e+01,-1.725434466124889030e-02
5.500000000000000000e+01,-1.725510793449768973e-02
5.600000000000000000e+01,-1.738516134354602463e-02
5.700000000000000000e+01,-1.754878431775468844e-02
5.800000000000000000e+01,-1.754878431775468844e-02
5.900000000000000000e+01,-1.754878431775468844e-02
6.000000000000000000e+01,-1.754878431775468844e-02
