# Iteration, Objective Value(s)
0.000000000000000000e+00,-4.855254733410236528e-02
1.000000000000000000e+00,-4.855254733410236528e-02
2.000000000000000000e+00,-6.644820463984775494e-02
3.000000000000000000e+00,-6.043602539857083344e-02
4.000000000000000000e+00,-6.043602539857083344e-02
5.000000000000000000e+00,-6.043602539857083344e-02
6.000000000000000000e+00,-6.043602539859879719e-02
7.000000000000000000e+00,-6.043602539859879719e-02
8.000000000000000000e+00,-6.043602539859879719e-02
9.000000000000000000e+00,-6.043602539860263440e-02
1.000000000000000000e+01,-6.043602539863917461e-02
1.100000000000000000e+01,-6.043602539864969397e-02
1.200000000000000000e+01,-6.043602539864969397e-02
1.300000000000000000e+01,-6.273580021993974132e-02
1.400000000000000000e+01,-6.273580021993974132e-02
1.500000000000000000e+01,-6.273580021993974132e-02
1.600000000000000000e+01,-6.273580021993974132e-02
1.700000000000000000e+01,-6.273580021993974132e-02
1.800000000000000000e+01,-6.273580021993974132e-02
1.900000000000000000e+01,-6.273580021993974132e-02
2.000000000000000000e+01,-6.530569641102053347e-02
2.100000000000000000e+01,-6.530569641104154444e-02
2.200000000000000000e+01,-6.530569641112184132e-02
2.300000000000000000e+01,-6.530569641112184132e-02
2.400000000000000000e+01,-6.530569641114367108e-02
2.500000000000000000e+01,-6.530569641116984458e-02
2.600000000000000000e+01,-6.530569641118864899e-02
2.700000000000000000e+01,-6.530569641118864899e-02
2.800000000000000000e+01,-6.530569641118864899e-02
2.900000000000000000e+01,-6.530569641118864899e-02
3.000000000000000000e+01,-6.530569641120301250e-02
3.100000000000000000e+01,-6.530569641120301250e-02
3.200000000000000000e+01,-6.530569641120301250e-02
3.300000000000000000e+01,-6.530569641121308777e-02
3.400000000000000000e+01,-6.530569641121308777e-02
3.500000000000000000e+01,-6.530569641121308777e-02
3.600000000000000000e+01,-6.530569641121308777e-02
3.700000000000000000e+01,-6.530569641121308777e-02
3.800000000000000000e+01,-6.530569641121308777e-02
3.900000000000000000e+01,-6.530569641121308777e-02
4.000000000000000000e+01,-6.530569641121308777e-02
4.100000000000000000e+01,-6.530569641121308777e-02
4.200000000000000000e+01,-6.530569641121308777e-02
4.300000000000000000e+01,-6.530569641122097035e-02
4.400000000000000000e+01,-6.530569641122097035e-02
4.500000000000000000e+01,-6.530569641122097035e-02
4.600000000000000000e+01,-6.530569641122097035e-02
4.700000000000000000e+01,-6.530569641122097035e-02
4.800000000000000000e+01,-6.530569641122097035e-02
4.900000000000000000e+01,-6.530569641122097035e-02
5.000000000000000000e+01,-6.530569641122097035e-02
5.100000000000000000e+01,-6.530569641122097035e-02
5.200000000000000000e+01,-6.530569641122097035e-02
5.300000000000000000e+01,-6.530569641122097035e-02
5.400000000000000000e+01,-6.530569641122097035e-02
5.500000000000000000e+01,-6.530569641122097035e-02
5.600000000000000000e+01,-6.530569641122097035e-02
5.700000000000000000e+01,-6.530569641122097035e-02
5.800000000000000000e+01,-6.530569641122097035e-02
5.900000000000000000e+01,-6.561025821147306591e-02
6.000000000000000000e+01,-6.561025821147306591e-02
