# Iteration, Objective Value(s)
0.000000000000000000e+00,-6.241557886741013611e-02
1.000000000000000000e+00,-6.241557886741013611e-02
2.000000000000000000e+00,-6.241557886778240777e-02
3.000000000000000000e+00,-6.300758380596038766e-02
4.000000000000000000e+00,-6.613399189775905074e-02
5.000000000000000000e+00,-6.613399189775905074e-02
6.000000000000000000e+00,-6.628448156293594018e-02
7.000000000000000000e+00,-6.774063113310925532e-02
8.000000000000000000e+00,-6.945026680673516140e-02
9.000000000000000000e+00,-6.945026680673516140e-02
1.000000000000000000e+01,-6.982202050801991633e-02
1.100000000000000000e+01,-7.129364868053324200e-02
1.200000000000000000e+01,-7.129364868053324200e-02
1.300000000000000000e+01,-7.129364868059354099e-02
1.400000000000000000e+01,-7.129364868066200012e-02
1.500000000000000000e+01,-7.189576701775959866e-02
1.600000000000000000e+01,-7.137242745576316549e-02
1.700000000000000000e+01,-7.269688323073923708e-02
1.800000000000000000e+01,-7.276635013597410051e-02
1.900000000000000000e+01,-7.276635013597410051e-02
2.000000000000000000e+01,-7.429898074154571430e-02
2.100000000000000000e+01,-7.429898074154571430e-02
2.200000000000000000e+01,-7.429898074154571430e-02
2.300000000000000000e+01,-7.430021345567434932e-02
2.400000000000000000e+01,-7.432865120453582830e-02
2.500000000000000000e+01,-7.432865120453582830e-02
2.600000000000000000e+01,-7.434294513995942655e-02
2.700000000000000000e+01,-7.434294513995942655e-02
2.800000000000000000e+01,-7.436030435494664359e-02
2.900000000000000000e+01,-7.436249537885110394e-02
3.000000000000000000e+01,-7.437286431229622741e-02
3.100000000000000000e+01,-7.437395245416769662e-02
3.200000000000000000e+01,-7.437556197064248975e-02
3.300000000000000000e+01,-7.437683436077495436e-02
3.400000000000000000e+01,-7.437704249068308182e-02
3.500000000000000000e+01,-7.437707244207786283e-02
3.600000000000000000e+01,-7.437707244207786283e-02
3.700000000000000000e+01,-7.437707244207786283e-02
3.800000000000000000e+01,-7.437713273344577491e-02
3.900000000000000000e+01,-7.437713273344577491e-02
4.000000000000000000e+01,-7.437713746990039232e-02
4.100000000000000000e+01,-7.437713746990039232e-02
4.200000000000000000e+01,-7.437713746990039232e-02
4.300000000000000000e+01,-7.437713746990039232e-02
4.400000000000000000e+01,-7.437714033281070392e-02
4.500000000000000000e+01,-7.437713876775230160e-02
4.600000000000000000e+01,-7.437713876775230160e-02
4.700000000000000000e+01,-7.437713889694604064e-02
4.800000000000000000e+01,-7.437713889694604064e-02
4.900000000000000000e+01,-7.437713889694604064e-02
5.000000000000000000e+01,-7.476573063041541678e-02
5.100000000000000000e+01,-7.476573063048476409e-02
5.200000000000000000e+01,-7.476573063048476409e-02
5.300000000000000000e+01,-7.477183961499742071e-02
5.400000000000000000e+01,-7.477183961499742071e-02
5.500000000000000000e+01,-7.521941376912980037e-02
5.600000000000000000e+01,-7.523553868399374123e-02
5.700000000000000000e+01,-7.523553868380281062e-02
5.800000000000000000e+01,-7.536322876275257376e-02
5.900000000000000000e+01,-7.543556467860186576e-02
6.000000000000000000e+01,-7.543556467869096116e-02
