# Iteration, Objective Value(s)
0.000000000000000000e+00,-6.879630800096296628e-02
1.000000000000000000e+00,-6.879630800096296628e-02
2.000000000000000000e+00,-7.141201819906260739e-02
3.000000000000000000e+00,-7.254842588305786266e-02
4.000000000000000000e+00,-7.254842476796886930e-02
5.000000000000000000e+00,-7.254842476796886930e-02
6.000000000000000000e+00,-7.278932747959350469e-02
7.000000000000000000e+00,-7.281817468708437491e-02
8.000000000000000000e+00,-7.281817468708437491e-02
9.000000000000000000e+00,-7.290462266787706147e-02
1.000000000000000000e+01,-7.290462266787706147e-02
1.100000000000000000e+01,-7.290462560777274947e-02
1.200000000000000000e+01,-7.290707969023052515e-02
1.300000000000000000e+01,-7.291399104731252634e-02
1.400000000000000000e+01,-7.291399104731252634e-02
1.500000000000000000e+01,-7.292076027793835402e-02
1.600000000000000000e+01,-7.292151712930584895e-02
1.700000000000000000e+01,-7.300571169494587953e-02
1.800000000000000000e+01,-7.300571169494587953e-02
1.900000000000000000e+01,-7.300573101783514041e-02
2.000000000000000000e+01,-7.300913456014841707e-02
2.100000000000000000e+01,-7.301183019606366509e-02
2.200000000000000000e+01,-7.301183019606366509e-02
2.300000000000000000e+01,-7.301183019606366509e-02
2.400000000000000000e+01,-7.301183019606366509e-02
2.500000000000000000e+01,-7.301198461359674485e-02
2.600000000000000000e+01,-7.301206854276857949e-02
2.700000000000000000e+01,-7.301236575669914353e-02
2.800000000000000000e+01,-7.301236600511656905e-02
2.900000000000000000e+01,-7.301237121811210429e-02
3.000000000000000000e+01,-7.301237121811210429e-02
3.100000000000000000e+01,-7.301237783363376255e-02
3.200000000000000000e+01,-7.301246794101128035e-02
3.300000000000000000e+01,-7.301247071847707937e-02
3.400000000000000000e+01,-7.301248005520490081e-02
3.500000000000000000e+01,-7.301247506013122668e-02
3.600000000000000000e+01,-7.301250298059175359e-02
3.700000000000000000e+01,-7.301268557563893313e-02
3.800000000000000000e+01,-7.301268783152103925e-02
3.900000000000000000e+01,-7.301268557563893313e-02
4.000000000000000000e+01,-7.301268557563893313e-02
4.100000000000000000e+01,-7.307144984420710365e-02
4.200000000000000000e+01,-7.307144984420710365e-02
4.300000000000000000e+01,-7.307145008531808206e-02
4.400000000000000000e+01,-7.307145008531808206e-02
4.500000000000000000e+01,-7.307145538948071894e-02
4.600000000000000000e+01,-7.307159206892538394e-02
4.700000000000000000e+01,-7.307233720477546157e-02
4.800000000000000000e+01,-7.307233720477546157e-02
4.900000000000000000e+01,-7.307243755565422105e-02
5.000000000000000000e+01,-7.307245575012034922e-02
5.100000000000000000e+01,-7.307245911245895120e-02
5.200000000000000000e+01,-7.307270764353231141e-02
5.300000000000000000e+01,-7.307273229397658054e-02
5.400000000000000000e+01,-7.307273362089161672e-02
5.500000000000000000e+01,-7.307274792699790245e-02
5.600000000000000000e+01,-7.307274792699790245e-02
5.700000000000000000e+01,-7.307274792699790245e-02
5.800000000000000000e+01,-7.307274795241527898e-02
5.900000000000000000e+01,-7.307274815524661404e-02
6.000000000000000000e+01,-7.307275041084553002e-02
