# Iteration, Objective Value(s)
0.000000000000000000e+00,-1.096145587536303950e-01
1.000000000000000000e+00,-1.171658789354971392e-01
2.000000000000000000e+00,-1.171658789354971392e-01
3.000000000000000000e+00,-1.189714908693829398e-01
4.000000000000000000e+00,-1.255039626332936642e-01
5.000000000000000000e+00,-1.354473228027970044e-01
6.000000000000000000e+00,-1.414811298961654584e-01
7.000000000000000000e+00,-1.414811298961654584e-01
8.000000000000000000e+00,-1.414811298961654584e-01
9.000000000000000000e+00,-1.414811298962824759e-01
1.000000000000000000e+01,-1.415772554437541575e-01
1.100000000000000000e+01,-1.420539521863121712e-01
1.200000000000000000e+01,-1.427505830086806538e-01
1.300000000000000000e+01,-1.431991959014227156e-01
1.400000000000000000e+01,-1.431991959014227156e-01
1.500000000000000000e+01,-1.431991959014227156e-01
1.600000000000000000e+01,-1.432834173622043183e-01
1.700000000000000000e+01,-1.432834173622043183e-01
1.800000000000000000e+01,-1.432834173622043183e-01
1.900000000000000000e+01,-1.432834173624122909e-01
2.000000000000000000e+01,-1.432834173624122909e-01
2.100000000000000000e+01,-1.432850486721133632e-01
2.200000000000000000e+01,-1.432879605285156677e-01
2.300000000000000000e+01,-1.432977950824764757e-01
2.400000000000000000e+01,-1.432977950825194136e-01
2.500000000000000000e+01,-1.437341883384264662e-01
2.600000000000000000e+01,-1.437341883384264662e-01
2.700000000000000000e+01,-1.437341883384264662e-01
2.800000000000000000e+01,-1.437341883384264662e-01
2.900000000000000000e+01,-1.437341883384264662e-01
3.000000000000000000e+01,-1.437504405544069719e-01
3.100000000000000000e+01,-1.437517736488695408e-01
3.200000000000000000e+01,-1.437724465833172538e-01
3.300000000000000000e+01,-1.437724465833172538e-01
3.400000000000000000e+01,-1.437977323003061247e-01
3.500000000000000000e+01,-1.437724465830658160e-01
3.600000000000000000e+01,-1.437717378248465627e-01
3.700000000000000000e+01,-1.437721990665750960e-01
3.800000000000000000e+01,-1.437721990665750960e-01
3.900000000000000000e+01,-1.437726553925108286e-01
4.000000000000000000e+01,-1.437726553925108286e-01
4.100000000000000000e+01,-1.437726553925108286e-01
4.200000000000000000e+01,-1.437726553925108286e-01
4.300000000000000000e+01,-1.437726553926607920e-01
4.400000000000000000e+01,-1.437726553927617112e-01
4.500000000000000000e+01,-1.437726553927882456e-01
4.600000000000000000e+01,-1.437726580989042435e-01
4.700000000000000000e+01,-1.437726608972311471e-01
4.800000000000000000e+01,-1.437726608972311471e-01
4.900000000000000000e+01,-1.437726615490413917e-01
5.000000000000000000e+01,-1.437726637847647759e-01
5.100000000000000000e+01,-1.437726637847855371e-01
5.200000000000000000e+01,-1.437726637847855371e-01
5.300000000000000000e+01,-1.437726637848043276e-01
5.400000000000000000e+01,-1.437726638750545238e-01
5.500000000000000000e+01,-1.437726638750545238e-01
5.600000000000000000e+01,-1.437726639127168971e-01
5.700000000000000000e+01,-1.437726639091335690e-01
5.800000000000000000e+01,-1.437726639092381242e-01
5.900000000000000000e+01,-1.437726639095407710e-01
6.000000000000000000e+01,-1.437726639095407710e-01
