# Iteration, Objective Value(s)
0.000000000000000000e+00,7.216629378570360132e+01
1.000000000000000000e+00,7.216629378570360132e+01
2.000000000000000000e+00,7.216629378570360132e+01
3.000000000000000000e+00,4.041642236703773960e+01
4.000000000000000000e+00,5.372451763927529100e+00
5.000000000000000000e+00,5.372451763927529100e+00
6.000000000000000000e+00,4.781227172403305303e+00
7.000000000000000000e+00,3.734138743893709034e+00
8.000000000000000000e+00,3.734138738385809120e+00
9.000000000000000000e+00,3.734138738385809120e+00
1.000000000000000000e+01,3.734138620689918753e+00
1.100000000000000000e+01,3.734138620689918753e+00
1.200000000000000000e+01,3.734138614825496916e+00
1.300000000000000000e+01,3.734138614825496916e+00
1.400000000000000000e+01,3.734138614825496916e+00
1.500000000000000000e+01,3.734138579580758233e+00
1.600000000000000000e+01,3.734138579580758233e+00
1.700000000000000000e+01,3.734138579580758233e+00
1.800000000000000000e+01,3.734138568928756285e+00
1.900000000000000000e+01,3.734138552972581238e+00
2.000000000000000000e+01,3.734138552972581238e+00
2.100000000000000000e+01,3.734138552972581238e+00
2.200000000000000000e+01,3.734138552972581238e+00
2.300000000000000000e+01,3.734138552972581238e+00
2.400000000000000000e+01,3.734138552972581238e+00
2.500000000000000000e+01,3.734138552972581238e+00
2.600000000000000000e+01,3.734138552972581238e+00
2.700000000000000000e+01,3.734138552972581238e+00
2.800000000000000000e+01,3.734138552972581238e+00
2.900000000000000000e+01,3.734138552972581238e+00
3.000000000000000000e+01,3.734138552972581238e+00
3.100000000000000000e+01,3.734138552972581238e+00
3.200000000000000000e+01,3.734138552972581238e+00
3.300000000000000000e+01,3.734138552972581238e+00
3.400000000000000000e+01,3.734138552972581238e+00
3.500000000000000000e+01,3.734138552972581238e+00
3.600000000000000000e+01,3.734138552972581238e+00
3.700000000000000000e+01,3.734138552972581238e+00
3.800000000000000000e+01,3.734138552972581238e+00
3.900000000000000000e+01,3.734138552972581238e+00
4.000000000000000000e+01,3.734138552972581238e+00
4.100000000000000000e+01,3.734138534760859329e+00
4.200000000000000000e+01,3.734138534760859329e+00
4.300000000000000000e+01,3.734138534760859329e+00
4.400000000000000000e+01,3.734138534760859329e+00
4.500000000000000000e+01,3.734138534760859329e+00
4.600000000000000000e+01,3.734138534760859329e+00
4.700000000000000000e+01,3.734138534760859329e+00
4.800000000000000000e+01,3.734138534760859329e+00
4.900000000000000000e+01,3.734138534760859329e+00
5.000000000000000000e+01,3.734138534760859329e+00
5.100000000000000000e+01,3.734138534760859329e+00
5.200000000000000000e+01,3.734138534760859329e+00
5.300000000000000000e+01,3.734138534760859329e+00
5.400000000000000000e+01,3.734138534760859329e+00
5.500000000000000000e+01,3.734138534760859329e+00
5.600000000000000000e+01,3.734138534760859329e+00
5.700000000000000000e+01,3.734138534760859329e+00
5.800000000000000000e+01,3.734138534760859329e+00
5.900000000000000000e+01,3.734138534760859329e+00
6.000000000000000000e+01,3.734138534760859329e+00
