# Iteration, Objective Value(s)
0.000000000000000000e+00,2.559838283137120015e+03
1.000000000000000000e+00,1.468454547934154107e+03
2.000000000000000000e+00,6.160102962986275088e+01
3.000000000000000000e+00,6.160102962986275088e+01
4.000000000000000000e+00,6.160102962986275088e+01
5.000000000000000000e+00,3.762184555939893471e+01
6.000000000000000000e+00,2.044528443017770769e+01
7.000000000000000000e+00,2.044528443017770769e+01
8.000000000000000000e+00,2.044528392764914315e+01
9.000000000000000000e+00,2.044528392764914315e+01
1.000000000000000000e+01,2.002704122473369353e+01
1.100000000000000000e+01,2.002704122473369353e+01
1.200000000000000000e+01,4.832881686183100101e+00
1.300000000000000000e+01,4.832881686183100101e+00
1.400000000000000000e+01,4.832881353271659464e+00
1.500000000000000000e+01,4.832881129368615802e+00
1.600000000000000000e+01,4.832881212234497070e+00
1.700000000000000000e+01,4.832881212234497070e+00
1.800000000000000000e+01,4.832881212234497070e+00
1.900000000000000000e+01,4.832881212234497070e+00
2.000000000000000000e+01,4.832881061855005100e+00
2.100000000000000000e+01,4.832881061855005100e+00
2.200000000000000000e+01,4.832881007634568959e+00
2.300000000000000000e+01,4.832881007634568959e+00
2.400000000000000000e+01,4.832881007634568959e+00
2.500000000000000000e+01,4.832881007634568959e+00
2.600000000000000000e+01,4.832881007634568959e+00
2.700000000000000000e+01,4.832880998394102789e+00
2.800000000000000000e+01,4.832880998394102789e+00
2.900000000000000000e+01,4.832880998394102789e+00
3.000000000000000000e+01,4.832880998394102789e+00
3.100000000000000000e+01,2.168893554080568720e+00
3.200000000000000000e+01,2.168893554080568720e+00
3.300000000000000000e+01,2.168893539143027738e+00
3.400000000000000000e+01,2.168893539143027738e+00
3.500000000000000000e+01,2.168893400761589874e+00
3.600000000000000000e+01,2.168893363981624134e+00
3.700000000000000000e+01,2.168893358408240601e+00
3.800000000000000000e+01,2.168893264657526743e+00
3.900000000000000000e+01,2.168893280766496900e+00
4.000000000000000000e+01,2.168893301306525245e+00
4.100000000000000000e+01,2.168893301306525245e+00
4.200000000000000000e+01,2.168893263245990966e+00
4.300000000000000000e+01,2.168893263245990966e+00
4.400000000000000000e+01,2.168893263245990966e+00
4.500000000000000000e+01,2.168893263245990966e+00
4.600000000000000000e+01,2.168893263245990966e+00
4.700000000000000000e+01,2.168893263245990966e+00
4.800000000000000000e+01,2.168893263245990966e+00
4.900000000000000000e+01,2.168893263245990966e+00
5.000000000000000000e+01,2.168893263245990966e+00
5.100000000000000000e+01,2.168893263245990966e+00
5.200000000000000000e+01,2.168893263245990966e+00
5.300000000000000000e+01,2.168893263245990966e+00
5.400000000000000000e+01,2.168893263245990966e+00
5.500000000000000000e+01,2.168893263245990966e+00
5.600000000000000000e+01,2.168893263245990966e+00
5.700000000000000000e+01,2.168893263245990966e+00
5.800000000000000000e+01,2.168893263245990966e+00
5.900000000000000000e+01,2.168893263245990966e+00
6.000000000000000000e+01,2.168893263245990966e+00
