# Iteration, Objective Value(s)
0.000000000000000000e+00,7.174651235289056785e+02
1.000000000000000000e+00,7.174651235289056785e+02
2.000000000000000000e+00,3.618710513911355520e+01
3.000000000000000000e+00,3.689699238988396246e+00
4.000000000000000000e+00,1.427962564572226256e+00
5.000000000000000000e+00,1.427962564572226256e+00
6.000000000000000000e+00,1.427962564572226256e+00
7.000000000000000000e+00,1.427962564572226256e+00
8.000000000000000000e+00,1.427962564572226256e+00
9.000000000000000000e+00,1.427962564572226256e+00
1.000000000000000000e+01,9.810778594619478099e-01
1.100000000000000000e+01,1.617444613657426089e-03
1.200000000000000000e+01,1.617444613657426089e-03
1.300000000000000000e+01,1.617444613657426089e-03
1.400000000000000000e+01,1.012479908240493387e-03
1.500000000000000000e+01,4.977779171895235777e-04
1.600000000000000000e+01,1.009659688861574978e-03
1.700000000000000000e+01,6.526584111270494759e-04
1.800000000000000000e+01,9.538591257296502590e-05
1.900000000000000000e+01,9.509778465144336224e-05
2.000000000000000000e+01,9.509778465144336224e-05
2.100000000000000000e+01,9.509778465144336224e-05
2.200000000000000000e+01,9.247727575711905956e-06
2.300000000000000000e+01,9.247727575711905956e-06
2.400000000000000000e+01,9.247727575711905956e-06
2.500000000000000000e+01,8.871371392160654068e-06
2.600000000000000000e+01,8.494200301356613636e-06
2.700000000000000000e+01,5.925801815465092659e-06
2.800000000000000000e+01,2.286833478137850761e-06
2.900000000000000000e+01,2.286833478137850761e-06
3.000000000000000000e+01,1.641245034988969564e-06
3.100000000000000000e+01,6.230620783753693104e-07
3.200000000000000000e+01,1.373191480524837971e-07
3.300000000000000000e+01,3.632158041000366211e-08
3.400000000000000000e+01,1.049193087965250015e-08
3.500000000000000000e+01,2.546585164964199066e-10
3.600000000000000000e+01,2.546585164964199066e-10
3.700000000000000000e+01,2.546585164964199066e-10
3.800000000000000000e+01,2.546585164964199066e-10
3.900000000000000000e+01,2.546585164964199066e-10
4.000000000000000000e+01,2.546585164964199066e-10
4.100000000000000000e+01,2.546585164964199066e-10
4.200000000000000000e+01,2.546585164964199066e-10
4.300000000000000000e+01,2.546585164964199066e-10
4.400000000000000000e+01,2.546585164964199066e-10
4.500000000000000000e+01,2.546585164964199066e-10
4.600000000000000000e+01,2.546585164964199066e-10
4.700000000000000000e+01,1.309672370553016663e-10
4.800000000000000000e+01,1.309672370553016663e-10
4.900000000000000000e+01,1.309672370553016663e-10
5.000000000000000000e+01,1.309672370553016663e-10
5.100000000000000000e+01,1.309672370553016663e-10
5.200000000000000000e+01,1.309672370553016663e-10
5.300000000000000000e+01,1.309672370553016663e-10
5.400000000000000000e+01,1.309672370553016663e-10
5.500000000000000000e+01,1.309672370553016663e-10
5.600000000000000000e+01,1.091393642127513885e-10
5.700000000000000000e+01,1.091393642127513885e-10
5.800000000000000000e+01,1.091393642127513885e-10
5.900000000000000000e+01,1.091393642127513885e-10
6.000000000000000000e+01,1.091393642127513885e-10
